2016-11-03 20:37:44 ===== Starting: clopgtp =====
2016-11-03 20:37:44 Reading clopgtp-old.dat...
2016-11-03 20:37:44 Wrong N (got 15, expected 9)
2016-11-03 20:39:20 Run
2016-11-04 01:41:06 id = 5 (cpu6); Seed = 154; Starting new sample
2016-11-04 01:41:52 id = 1 (cpu2); Seed = 149; Done (0)
2016-11-04 01:41:52 id = 1 (cpu2); Seed = 155; Starting new sample
2016-11-04 01:43:04 id = 0 (cpu1); Seed = 148; Done (0)
2016-11-04 01:43:04 id = 0 (cpu1); Seed = 156; Starting new sample
2016-11-04 01:43:35 id = 2 (cpu3); Seed = 151; Done (0)
2016-11-04 01:43:35 id = 2 (cpu3); Seed = 157; Starting new sample
2016-11-04 01:44:02 id = 3 (cpu4); Seed = 150; Done (0)
2016-11-04 01:44:02 id = 3 (cpu4); Seed = 158; Starting new sample
2016-11-04 01:49:15 id = 6 (cpu7); Seed = 152; Done (0)
2016-11-04 01:49:15 id = 6 (cpu7); Seed = 159; Starting new sample
2016-11-04 01:53:28 id = 4 (cpu5); Seed = 153; Done (1)
2016-11-04 01:53:28 id = 4 (cpu5); Seed = 160; Starting new sample
2016-11-04 01:55:44 id = 5 (cpu6); Seed = 154; Done (1)
2016-11-04 01:55:44 id = 5 (cpu6); Seed = 161; Starting new sample
2016-11-04 01:57:06 id = 1 (cpu2); Seed = 155; Done (1)
2016-11-04 01:57:06 id = 1 (cpu2); Seed = 162; Starting new sample
2016-11-04 01:57:40 id = 0 (cpu1); Seed = 156; Done (0)
2016-11-04 01:57:40 id = 0 (cpu1); Seed = 163; Starting new sample
2016-11-04 01:58:50 id = 3 (cpu4); Seed = 158; Done (0)
2016-11-04 01:58:50 id = 3 (cpu4); Seed = 164; Starting new sample
2016-11-04 01:59:51 id = 2 (cpu3); Seed = 157; Done (0)
2016-11-04 01:59:51 id = 2 (cpu3); Seed = 165; Starting new sample
2016-11-04 02:02:52 id = 6 (cpu7); Seed = 159; Done (1)
2016-11-04 02:02:52 id = 6 (cpu7); Seed = 166; Starting new sample
2016-11-04 02:08:12 id = 4 (cpu5); Seed = 160; Done (0)
2016-11-04 02:08:12 id = 4 (cpu5); Seed = 167; Starting new sample
2016-11-04 02:09:57 id = 0 (cpu1); Seed = 163; Done (1)
2016-11-04 02:09:57 id = 0 (cpu1); Seed = 168; Starting new sample
2016-11-04 02:10:18 id = 5 (cpu6); Seed = 161; Done (0)
2016-11-04 02:10:18 id = 5 (cpu6); Seed = 169; Starting new sample
2016-11-04 02:12:41 id = 3 (cpu4); Seed = 164; Done (0)
2016-11-04 02:12:41 id = 3 (cpu4); Seed = 170; Starting new sample
2016-11-04 02:12:44 id = 1 (cpu2); Seed = 162; Done (0)
2016-11-04 02:12:44 id = 1 (cpu2); Seed = 171; Starting new sample
2016-11-04 02:14:21 id = 2 (cpu3); Seed = 165; Done (0)
2016-11-04 02:14:21 id = 2 (cpu3); Seed = 172; Starting new sample
2016-11-04 02:16:35 id = 6 (cpu7); Seed = 166; Done (1)
2016-11-04 02:16:35 id = 6 (cpu7); Seed = 173; Starting new sample
2016-11-04 02:23:01 id = 4 (cpu5); Seed = 167; Done (0)
2016-11-04 02:23:01 id = 4 (cpu5); Seed = 174; Starting new sample
2016-11-04 02:25:21 id = 0 (cpu1); Seed = 168; Done (1)
2016-11-04 02:25:21 id = 0 (cpu1); Seed = 175; Starting new sample
2016-11-04 02:25:42 id = 3 (cpu4); Seed = 170; Done (0)
2016-11-04 02:25:42 id = 3 (cpu4); Seed = 176; Starting new sample
2016-11-04 02:26:33 id = 5 (cpu6); Seed = 169; Done (0)
2016-11-04 02:26:33 id = 5 (cpu6); Seed = 177; Starting new sample
2016-11-04 02:28:55 id = 1 (cpu2); Seed = 171; Done (0)
2016-11-04 02:28:55 id = 1 (cpu2); Seed = 178; Starting new sample
2016-11-04 02:30:04 id = 2 (cpu3); Seed = 172; Done (0)
2016-11-04 02:30:04 id = 2 (cpu3); Seed = 179; Starting new sample
2016-11-04 02:30:54 id = 6 (cpu7); Seed = 173; Done (0)
2016-11-04 02:30:54 id = 6 (cpu7); Seed = 180; Starting new sample
2016-11-04 02:37:23 id = 4 (cpu5); Seed = 174; Done (0)
2016-11-04 02:37:23 id = 4 (cpu5); Seed = 181; Starting new sample
2016-11-04 02:38:54 id = 0 (cpu1); Seed = 175; Done (0)
2016-11-04 02:38:54 id = 0 (cpu1); Seed = 182; Starting new sample
2016-11-04 02:40:44 id = 3 (cpu4); Seed = 176; Done (0)
2016-11-04 02:40:44 id = 3 (cpu4); Seed = 183; Starting new sample
2016-11-04 02:41:20 id = 5 (cpu6); Seed = 177; Done (0)
